# address	works	why
https://globalgrid2050.com/testcode/202609160224/	yes	
https://ventusltd.github.io/data-federation-map-for-globalgrid2050-all-repos/live_sandbox/federation_control_ledger/	yes	
https://ventusltd.github.io/galaxies-wafers/iterations/28-nearest-search-trap/	yes	
https://ventusltd.github.io/testcode/sandbox/202609052011/pipeline/	yes	
https://globalgrid2050.com/repd_grid_atlasv3/	yes	
https://globalgrid2050.com/testcode/202609060517/atlas/	yes	
https://globalgrid2050.com/solar-bess-topology-v6/	yes	
https://ventusltd.github.io/solar-electrical-topology-analysis-engine-text-based/v9-sandbox/	yes	
https://ventusltd.github.io/solar-electrical-topology-analysis-engine-text-based/v10-development/	yes	
https://globalgrid2050.com/repd_grid_atlasv7/	yes	
https://ventusltd.github.io/gridatlas/atlas/	yes	
https://globalgrid2050.com/how_to_work_with_globalgrid2050/	yes	
https://globalgrid2050.com/solar-bess-topology-v7/gis-sld-financial-sandbox/	yes	
https://globalgrid2050.com/repd_grid_atlasv8/	yes	
https://globalgrid2050.com/data/grid_studies_public/california_wildfire_grid_risk.html	yes	
https://ventusltd.github.io/testcode/sandbox/202609060400/atlas/	no	its face says: COMPOSITION FAILED
https://globalgrid2050.com/testcode/202609060432/cable/	yes	
https://globalgrid2050.com/marketing/earth.html	yes	
https://ventusltd.github.io/spiders/codex/build-plan/	yes	
https://globalgrid2050.com/data/grid_studies_public/great_britain_electricity_price_grid_constraint_trends_2016_2026.html	yes	
https://ventusltd.github.io/galaxies-wafers/404.html	yes	
https://ventusltd.github.io/galaxies-wafers/iterations/13-diversified-demand/	yes	
https://ventusltd.github.io/galaxies-wafers/iterations/39-decisions-and-permission/	yes	
https://globalgrid2050.com/uk_renewables_pipeline/dashboard.html	yes	
https://globalgrid2050.com/testcode/202609160151/	yes	
https://ventusltd.github.io/stars/code.html	yes	
https://ventusltd.github.io/youengineer-code-review/world-cup-knockout/	yes	
https://globalgrid2050.com/data/grid_studies_public/	yes	
https://ventusltd.github.io/pipelinenews/releases/202608270055-v8-fast-candidate.html	yes	
https://globalgrid2050.com/cable_geometry/	yes	
https://globalgrid2050.com/testcode/202609150125/	yes	
https://globalgrid2050.com/solar-bess-topology-v7/docs/demonstration-videos.html	yes	
https://globalgrid2050.com/homepage_versions/homepage_v109.html	yes	
https://globalgrid2050.com/solar-bess-topology-v8/bess-gis-sld-financial-sandbox/	yes	
https://globalgrid2050.com/uk_renewables_pipeline/dashboard_v2_2026-08-22.html	yes	
https://globalgrid2050.com/testcode/	yes	
https://ventusltd.github.io/galaxies-wafers/iterations/08-space-and-time/	yes	
https://ventusltd.github.io/data-federation-map-for-globalgrid2050-all-repos/dashboard/federation_radial.html	yes	
https://ventusltd.github.io/youengineer-code-review/civilisation-atlas-v8/	yes	
https://globalgrid2050.com/uk_renewables_pipeline/v8/	yes	
https://globalgrid2050.com/testcode/202609160224/proof/	yes	
https://globalgrid2050.com/solar-bess-topology-v6/gis-sld-financial-sandbox/	yes	
https://globalgrid2050.com/uk_renewables_pipeline/202609061329/	yes	
